Relatório Estatístico para governo_processed
============================================================

1) Total de registros: 33

2) Nulos por coluna:
,0
id,0
titulo_noticia,0
texto,0
data_publicacao,0
texto_para_sentimento,0
sentimento,0
sentimento_classificacao,0
target,0

3) Distribuição de Sentimento:
sentimento_classificacao,count
neutro,33

4) Distribuição de Target:
target,count
0,33

5) Estatísticas Numéricas:
,sentimento,target
count,33.0,33.0
mean,0.0,0.0
std,0.0,0.0
min,0.0,0.0
25%,0.0,0.0
50%,0.0,0.0
75%,0.0,0.0
max,0.0,0.0

